mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
2L178X102X19SLBB,"77,6",102,0,0,0,102,102,100,749,"98,5","2,74",184,7200,405,"8,48",952,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L178X102X19X9SLBB,"77,6",102,0,0,0,102,102,100,749,"98,5","2,74",184,7830,429,"8,84",1000,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L178X102X19X19SLBB,"77,6",102,0,0,0,102,102,100,749,"98,5","2,74",184,8490,454,"9,22",1050,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L178X102X15.9SLBB,"65,4",102,0,0,0,102,102,"83,9",649,"83,9","2,79",154,5910,333,"8,41",796,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L178X102X15.9X9SLBB,"65,4",102,0,0,0,102,102,"83,9",649,"83,9","2,79",154,6490,356,"8,79",836,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L178X102X15.9X19SLBB,"65,4",102,0,0,0,102,102,"83,9",649,"83,9","2,79",154,6990,374,"9,14",877,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L178X102X12.7SLBB,53,102,0,0,0,102,102,"67,7",541,"68,8","2,82",124,4750,267,"8,36",637,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L178X102X12.7X9SLBB,53,102,0,0,0,102,102,"67,7",541,"68,8","2,82",124,5160,283,"8,71",670,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L178X102X12.7X19SLBB,53,102,0,0,0,102,102,"67,7",541,"68,8","2,82",124,5580,298,"9,07",703,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L178X102X11.1SLBB,"46,8",102,0,0,0,102,102,"59,7",483,61,"2,84",108,4150,233,"8,33",557,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L178X102X11.1X9SLBB,"46,8",102,0,0,0,102,102,"59,7",483,61,"2,84",108,4500,246,"8,69",585,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L178X102X11.1X19SLBB,"46,8",102,0,0,0,102,102,"59,7",483,61,"2,84",108,4870,261,"9,04",615,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
