mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
2L89X64X6.4X9LLBB,"14,6","63,5",0,0,0,"63,5","63,5","18,7",151,"24,7","2,84","44,6",141,"20,6","2,74","42,8","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L89X64X6.4X19LLBB,"14,6","63,5",0,0,0,"63,5","63,5","18,7",151,"24,7","2,84","44,6",180,"24,6","3,1","51,6","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X12.7LLBB,"25,2","63,5",0,0,0,"63,5","63,5","32,3",172,"33,8","2,31",61,225,"35,4","2,64","78,3","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X12.7X9LLBB,"25,2","63,5",0,0,0,"63,5","63,5","32,3",172,"33,8","2,31",61,290,"42,4",3,"93,6","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X12.7X19LLBB,"25,2","63,5",0,0,0,"63,5","63,5","32,3",172,"33,8","2,31",61,368,"50,3","3,38",109,"0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X11.1LLBB,"22,6","63,5",0,0,0,"63,5","63,5","28,6",156,"30,2","2,33","54,4",192,"30,3","2,59",66,"0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X11.1X9LLBB,"22,6","63,5",0,0,0,"63,5","63,5","28,6",156,"30,2","2,33","54,4",248,"36,4","2,95","79,8","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X11.1X19LLBB,"22,6","63,5",0,0,0,"63,5","63,5","28,6",156,"30,2","2,33","54,4",322,"44,1","3,35","93,4","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X9.5LLBB,"19,6","63,5",0,0,0,"63,5","63,5","24,9",137,"26,4","2,35","47,5",164,"25,9","2,57","54,4","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X9.5X9LLBB,"19,6","63,5",0,0,0,"63,5","63,5","24,9",137,"26,4","2,35","47,5",212,"31,1","2,92","66,4","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X9.5X19LLBB,"19,6","63,5",0,0,0,"63,5","63,5","24,9",137,"26,4","2,35","47,5",271,"37,2","3,3","78,2","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X7.9LLBB,"16,6","63,5",0,0,0,"63,5","63,5",21,117,"22,3","2,37","40,3",136,"21,3","2,54","43,4","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X7.9X9LLBB,"16,6","63,5",0,0,0,"63,5","63,5",21,117,"22,3","2,37","40,3",176,"25,9","2,9","53,4","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X7.9X19LLBB,"16,6","63,5",0,0,0,"63,5","63,5",21,117,"22,3","2,37","40,3",226,31,"3,28","63,4","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
