BITOLA,Massa Linear,d,bf,Espessura,,h,d',Área,Eixo X - X,,,,Eixo Y - Y,,,,r t,I t,Esbeltez,,Cw,u,BITOLA
,,,,tw,tf,,,, Ix ,Wx,rx,Zx,Iy,Wy,ry,Zy,,,Aba,Alma,,,
mm x kg/m,Kg/m,mm,mm,mm,mm,mm,mm,cm2, cm4 ,cm3,cm,cm3,cm4,cm3,cm,cm3,cm,cm4,bf / 2tf,d' / tw,cm6,m2/m,mm x kg/m
"W 150 x 13,0",13,148,100,"4,3","4,9",138,118,"16,6",635,"85,8","6,18","96,4",82,"16,4","2,22","25,5","2,6","1,72","10,2","27,49",4.181,"0,67","W 150 x 13,0"
"W 150 x 18,0",18,153,102,"5,8","7,1",139,119,"23,4",939,"122,8","6,34","139,4",126,"24,7","2,32","38,5","2,69","4,34","7,18","20,48",6.683,"0,69","W 150 x 18,0"
"W 150 x 22,5 (H)","22,5",152,152,"5,8","6,6",139,119,29,1.229,"161,7","6,51","179,6",387,"50,9","3,65","77,9","4,1","4,75","11,52","20,48",20.417,"0,88","W 150 x 22,5 (H)"
"W 150 x 24,0",24,160,102,"6,6","10,3",139,115,"31,5",1.384,173,"6,63","197,6",183,"35,9","2,41","55,8","2,73","11,08","4,95","17,48",10.206,"0,69","W 150 x 24,0"
"W 150 x 29,8 (H)","29,8",157,153,"6,6","9,3",138,118,"38,5",1.739,"221,5","6,72","247,5",556,"72,6","3,8","110,8","4,18","10,95","8,23","17,94",30.277,"0,9","W 150 x 29,8 (H)"
"W 150 x 37,1 (H)","37,1",162,154,"8,1","11,6",139,119,"47,8",2.244,277,"6,85","313,5",707,"91,8","3,84","140,4","4,22","20,58","6,64","14,67",39.930,"0,91","W 150 x 37,1 (H)"
"W 200 x 15,0",15,200,100,"4,3","5,2",190,170,"19,4",1.305,"130,5","8,2","147,9",87,"17,4","2,12","27,3","2,55","2,05","9,62","39,44",8.222,"0,77","W 200 x 15,0"
"W 200 x 19,3","19,3",203,102,"5,8","6,5",190,170,"25,1",1.686,"166,1","8,19","190,6",116,"22,7","2,14","35,9","2,59","4,02","7,85","29,31",11.098,"0,79","W 200 x 19,3"
"W 200 x 22,5","22,5",206,102,"6,2",8,190,170,29,2.029,197,"8,37","225,5",142,"27,9","2,22","43,9","2,63","6,18","6,38","27,42",13.868,"0,79","W 200 x 22,5"
"W 200 x 26,6","26,6",207,133,"5,8","8,4",190,170,"34,2",2.611,"252,3","8,73","282,3",330,"49,6","3,1","76,3","3,54","7,65","7,92","29,34",32.477,"0,92","W 200 x 26,6"
"W 200 x 31,3","31,3",210,134,"6,4","10,2",190,170,"40,3",3.168,"301,7","8,86","338,6",410,"61,2","3,19",94,"3,6","12,59","6,57","26,5",40.822,"0,93","W 200 x 31,3"
"W 200 x 35,9 (H)","35,9",201,165,"6,2","10,2",181,161,"45,7",3.437,342,"8,67","379,2",764,"92,6","4,09",141,"4,5","14,51","8,09","25,9",69.502,"1,03","W 200 x 35,9 (H)"
"W 200 x 41,7 (H)","41,7",205,166,"7,2","11,8",181,157,"53,5",4.114,"401,4","8,77","448,6",901,"108,5","4,1","165,7","4,53","23,19","7,03","21,86",83.948,"1,04","W 200 x 41,7 (H)"
"W 200 x 46,1 (H)","46,1",203,203,"7,2",11,181,161,"58,6",4.543,"447,6","8,81","495,3",1.535,"151,2","5,12","229,5","5,58","22,01","9,23","22,36",141.342,"1,19","W 200 x 46,1 (H)"
"W 200 x 52,0 (H)",52,206,204,"7,9","12,6",181,157,"66,9",5.298,"514,4","8,9","572,5",1.784,"174,9","5,16","265,8","5,61","33,34","8,1","19,85",166.710,"1,19","W 200 x 52,0 (H)"
"HP 200 x 53,0 (H)",53,204,207,"11,3","11,3",181,161,"68,1",4.977,488,"8,55","551,3",1.673,"161,7","4,96","248,6","5,57","31,93","9,16","14,28",155.075,"1,2","HP 200 x 53,0 (H)"
"W 200 x 59,0 (H)",59,210,205,"9,1","14,2",182,158,76,6.140,"584,8","8,99","655,9",2.041,"199,1","5,18",303,"5,64","47,69","7,22","17,32",195.418,"1,2","W 200 x 59,0 (H)"
"W 200 x 71,0 (H)",71,216,206,"10,2","17,4",181,161,91,7.660,"709,2","9,17","803,2",2.537,"246,3","5,28","374,5","5,7","81,66","5,92","15,8",249.976,"1,22","W 200 x 71,0 (H)"
"W 200 x 86,0 (H)",86,222,209,13,"20,6",181,157,"110,9",9.498,"855,7","9,26","984,2",3.139,"300,4","5,32","458,7","5,77","142,19","5,07","12,06",317.844,"1,23","W 200 x 86,0 (H)"
"W 250 x 17,9","17,9",251,101,"4,8","5,3",240,220,"23,1",2.291,"182,6","9,96",211,91,"18,1","1,99","28,8","2,48","2,54","9,53","45,92",13.735,"0,88","W 250 x 17,9"
"W 250 x 22,3","22,3",254,102,"5,8","6,9",240,220,"28,9",2.939,"231,3","10,09","267,7",123,"24,1","2,06","38,4","2,54","4,77","7,39","37,97",18.629,"0,89","W 250 x 22,3"
"W 250 x 25,3","25,3",257,102,"6,1","8,4",240,220,"32,6",3.473,"270,2","10,31","311,1",149,"29,3","2,14","46,4","2,58","7,06","6,07","36,1",22.955,"0,89","W 250 x 25,3"
"W 250 x 28,4","28,4",260,102,"6,4",10,240,220,"36,6",4.046,"311,2","10,51","357,3",178,"34,8","2,2","54,9","2,62","10,34","5,1","34,38",27.636,"0,9","W 250 x 28,4"
"W 250 x 32,7","32,7",258,146,"6,1","9,1",240,220,"42,1",4.937,"382,7","10,83","428,5",473,"64,8","3,35","99,7","3,86","10,44","8,02","36,03",73.104,"1,07","W 250 x 32,7"
"W 250 x 38,5","38,5",262,147,"6,6","11,2",240,220,"49,6",6.057,"462,4","11,05","517,8",594,"80,8","3,46","124,1","3,93","17,63","6,56","33,27",93.242,"1,08","W 250 x 38,5"
"W 250 x 44,8","44,8",266,148,"7,6",13,240,220,"57,6",7.158,"538,2","11,15","606,3",704,"95,1","3,5","146,4","3,96","27,14","5,69","28,95",112.398,"1,09","W 250 x 44,8"
"HP 250 x 62,0 (H)",62,246,256,"10,5","10,7",225,201,"79,6",8.728,"709,6","10,47","790,5",2.995,234,"6,13","357,8","6,89","33,46","11,96","19,1",414.130,"1,47","HP 250 x 62,0 (H)"
"W 250 x 73,0 (H)",73,253,254,"8,6","14,2",225,201,"92,7",11.257,"889,9","11,02","983,3",3.880,"305,5","6,47","463,1","7,01","56,94","8,94","23,33",552.900,"1,48","W 250 x 73,0 (H)"
"W 250 x 80,0 (H)",80,256,255,"9,4","15,6",225,201,"101,9",12.550,"980,5","11,1","1088,7",4.313,"338,3","6,51","513,1","7,04","75,02","8,17","21,36",622.878,"1,49","W 250 x 80,0 (H)"
"HP 250 x 85,0 (H)",85,254,260,"14,4","14,4",225,201,"108,5",12.280,"966,9","10,64","1093,2",4.225,325,"6,24","499,6",7,"82,07","9,03","13,97",605.403,"1,5","HP 250 x 85,0 (H)"
"W 250 x 89,0 (H)",89,260,256,"10,7","17,3",225,201,"113,9",14.237,"1095,1","11,18","1224,4",4.841,"378,2","6,52","574,3","7,06","102,81","7,4","18,82",712.351,"1,5","W 250 x 89,0 (H)"
"W 250 x 101,0 (H)",101,264,257,"11,9","19,6",225,201,"128,7",16.352,"1238,8","11,27","1.395,00",5.549,"431,8","6,57","656,3","7,1","147,7","6,56","16,87",828.031,"1,51","W 250 x 101,0 (H)"
"W 250 x 115,0 (H)",115,269,259,"13,5","22,1",225,201,"146,1",18.920,"1406,7","11,38","1597,4",6.405,"494,6","6,62","752,7","7,16",212,"5,86","14,87",975.265,"1,53","W 250 x 115,0 (H)"
"W 310 x 21,0",21,303,101,"5,1","5,7",292,272,"27,2",3.776,"249,2","11,77","291,9",98,"19,5","1,9","31,4","2,42","3,27","8,86","53,25",21.628,"0,98","W 310 x 21,0"
"W 310 x 23,8","23,8",305,101,"5,6","6,7",292,272,"30,7",4.346,285,"11,89","333,2",116,"22,9","1,94","36,9","2,45","4,65","7,54","48,5",25.594,"0,99","W 310 x 23,8"
"W 310 x 28,3","28,3",309,102,6,"8,9",291,271,"36,5",5.500,356,"12,28",412,158,31,"2,08","49,4","2,55","8,14","5,73","45,2",35.441,1,"W 310 x 28,3"
"W 310 x 32,7","32,7",313,102,"6,6","10,8",291,271,"42,1",6.570,"419,8","12,49","485,3",192,"37,6","2,13","59,8","2,58","12,91","4,72","41,12",43.612,1,"W 310 x 32,7"
"W 310 x 38,7","38,7",310,165,"5,8","9,7",291,271,"49,7",8.581,"553,6","13,14","615,4",727,"88,1","3,82","134,9","4,38","13,2","8,51","46,66",163.728,"1,25","W 310 x 38,7"
"W 310 x 44,5","44,5",313,166,"6,6","11,2",291,271,"57,2",9.997,"638,8","13,22","712,8",855,103,"3,87",158,"4,41","19,9","7,41",41,194.433,"1,26","W 310 x 44,5"
"W 310 x 52,0",52,317,167,"7,6","13,2",291,271,67,11.909,"751,4","13,33","842,5",1.026,"122,9","3,91","188,8","4,45","31,81","6,33","35,61",236.422,"1,27","W 310 x 52,0"
"HP 310 x 79,0 (H)",79,299,306,11,11,277,245,100,16.316,"1091,3","12,77","1210,1",5.258,"343,7","7,25","525,4","8,2","46,72","13,91","22,27",1.089.258,"1,77","HP 310 x 79,0 (H)"
"HP 310 x 93,0 (H)",93,303,308,"13,1","13,1",277,245,"119,2",19.682,"1299,1","12,85","1450,3",6.387,"414,7","7,32","635,5","8,26","77,33","11,76","18,69",1.340.320,"1,78","HP 310 x 93,0 (H)"
"W 310 x 97,0 (H)",97,308,305,"9,9","15,4",277,245,"123,6",22.284,"1.447,00","13,43","1594,2",7.286,"477,8","7,68",725,"8,38","92,12","9,9","24,77",1.558.682,"1,79","W 310 x 97,0 (H)"
"W 310 x 107,0 (H)",107,311,306,"10,9",17,277,245,"136,4",24.839,"1597,3","13,49","1768,2",8.123,"530,9","7,72","806,1","8,41","122,68",9,"22,48",1.754.271,"1,8","W 310 x 107,0 (H)"
"HP310 x 110,0 (H)",110,308,310,"15,4","15,5",277,245,141,23.703,"1539,1","12,97","1730,6",7.707,"497,3","7,39","763,7","8,33","125,66",10,"15,91",1.646.104,"1,8","HP310x110,0 (H)"
"W 310 x 117,0 (H)",117,314,307,"11,9","18,7",277,245,"149,9",27.563,"1755,6","13,56","1952,6",9.024,"587,9","7,76","893,1","8,44","161,61","8,21","20,55",1.965.950,"1,8","W 310 x 117,0 (H)"
