mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
HSS355.6X101.6X4.8,"32,9",0,0,0,0,,,"39,1",5700,320,12,415,791,155,"4,5",169,0,2320,0,0,0,0
HSS304.8X304.8X15.9,139,0,0,0,0,,,166,22800,1500,"11,7",1790,22800,1500,"11,7",1790,0,36800,0,0,0,0
HSS304.8X304.8X12.7,113,0,0,0,0,,,135,19000,1250,"11,9",1470,19000,1250,"11,9",1470,0,30300,0,0,0,0
HSS304.8X304.8X9.5,"86,3",0,0,0,0,,,103,14900,975,12,1130,14900,975,12,1130,0,23400,0,0,0,0
HSS304.8X304.8X7.9,"72,6",0,0,0,0,,,"86,5",12700,831,"12,1",960,12700,831,"12,1",960,0,19700,0,0,0,0
HSS304.8X304.8X6.4,"58,6",0,0,0,0,,,"69,7",10300,678,"12,2",780,10300,678,"12,2",780,0,16000,0,0,0,0
HSS304.8X304.8X4.8,"44,4",0,0,0,0,,,"52,6",7870,516,"12,2",590,7870,516,"12,2",590,0,12100,0,0,0,0
HSS304.8X254X12.7,103,0,0,0,0,,,123,16400,1080,"11,6",1290,12400,978,"10,1",1140,0,22700,0,0,0,0
HSS304.8X254X9.5,"78,8",0,0,0,0,,,"94,2",12900,846,"11,7",1000,9740,769,"10,2",885,0,17500,0,0,0,0
HSS304.8X254X7.9,"66,4",0,0,0,0,,,"78,7",11000,721,"11,8",847,8320,655,"10,3",749,0,14800,0,0,0,0
HSS304.8X254X6.4,"53,6",0,0,0,0,,,"63,9",8990,590,"11,9",690,6830,536,"10,3",610,0,12000,0,0,0,0
HSS304.8X203.2X15.9,113,0,0,0,0,,,135,16500,1080,11,1350,8740,860,"8,03",1010,0,18900,0,0,0,0
HSS304.8X203.2X12.7,"92,7",0,0,0,0,,,111,13900,911,"11,2",1120,7410,728,"8,15",844,0,15700,0,0,0,0
HSS304.8X203.2X9.5,"71,2",0,0,0,0,,,"85,2",10900,716,"11,4",869,5830,575,"8,31",657,0,12200,0,0,0,0
HSS304.8X203.2X7.9,"60,1",0,0,0,0,,,"71,6",9320,613,"11,4",736,4990,493,"8,36",559,0,10300,0,0,0,0
HSS304.8X203.2X6.4,"48,5",0,0,0,0,,,"57,8",7660,501,"11,5",600,4110,405,"8,43",456,0,8410,0,0,0,0
HSS304.8X203.2X4.8,"36,9",0,0,0,0,,,"43,6",5830,383,"11,6",456,3150,310,"8,51",346,0,6370,0,0,0,0
HSS304.8X152.4X15.9,101,0,0,0,0,,,121,13400,875,"10,5",1130,4450,582,"6,07",690,0,11300,0,0,0,0
HSS304.8X152.4X12.7,"82,6",0,0,0,0,,,"98,7",11300,741,"10,7",941,3790,498,"6,2",577,0,9450,0,0,0,0
HSS304.8X152.4X9.5,"63,6",0,0,0,0,,,"76,1",8950,588,"10,9",734,3030,398,"6,32",454,0,7410,0,0,0,0
HSS304.8X152.4X7.9,"53,7",0,0,0,0,,,64,7660,503,"10,9",624,2610,342,"6,4",387,0,6330,0,0,0,0
HSS304.8X152.4X6.4,"43,4",0,0,0,0,,,"51,8",6290,413,11,510,2160,283,"6,45",316,0,5160,0,0,0,0
HSS304.8X152.4X4.8,"33,1",0,0,0,0,,,"39,1",4830,318,"11,1",388,1660,218,"6,53",241,0,3940,0,0,0,0
HSS304.8X101.6X15.9,88,0,0,0,0,,,106,10200,669,"9,83",909,1680,331,"3,99",401,0,5080,0,0,0,0
HSS304.8X101.6X12.7,"72,5",0,0,0,0,,,"87,1",8740,572,10,765,1470,290,"4,11",342,0,4370,0,0,0,0
HSS304.8X101.6X9.5,56,0,0,0,0,,,"67,1",6990,459,"10,2",601,1200,238,"4,24",272,0,3500,0,0,0,0
HSS304.8X101.6X7.9,"47,4",0,0,0,0,,,"56,5",5990,395,"10,3",513,1050,206,"4,32",233,0,3010,0,0,0,0
HSS304.8X101.6X6.4,"38,4",0,0,0,0,,,"45,8",4950,326,"10,4",420,874,172,"4,37",192,0,2490,0,0,0,0
HSS304.8X101.6X4.8,"29,3",0,0,0,0,,,"34,6",3820,251,"10,5",321,683,134,"4,45",147,0,1920,0,0,0,0
HSS304.8X88.9X9.5,"54,1",0,0,0,0,,,"64,5",6490,426,10,569,887,200,"3,71",229,0,2690,0,0,0,0
HSS304.8X88.9X7.9,"45,8",0,0,0,0,,,"54,6",5580,367,"10,1",485,774,174,"3,76",198,0,2330,0,0,0,0
HSS304.8X76.2X7.9,"44,2",0,0,0,0,,,"52,7",5160,339,"9,91",457,545,143,"3,23",164,0,1720,0,0,0,0
HSS304.8X76.2X6.4,"35,8",0,0,0,0,,,"42,8",4290,282,10,375,462,121,"3,28",136,0,1440,0,0,0,0
HSS304.8X76.2X4.8,"27,4",0,0,0,0,,,"32,4",3310,218,"10,1",287,363,"95,2","3,35",105,0,1120,0,0,0,0
HSS304.8X50.8X7.9,41,0,0,0,0,,,49,4330,285,"9,42",401,212,"83,6","2,08","99,1",0,733,0,0,0,0
HSS304.8X50.8X6.4,"33,3",0,0,0,0,,,"39,8",3620,238,"9,53",329,184,"72,3","2,15","83,2",0,629,0,0,0,0
HSS304.8X50.8X4.8,"25,4",0,0,0,0,,,"30,1",2810,184,"9,65",254,148,"58,2","2,21","65,1",0,499,0,0,0,0
HSS254X254X15.9,113,0,0,0,0,,,135,12700,996,"9,65",1200,12700,996,"9,65",1200,0,20700,0,0,0,0
HSS254X254X12.7,"92,7",0,0,0,0,,,111,10700,839,"9,8",995,10700,839,"9,8",995,0,17100,0,0,0,0
HSS254X254X9.5,"71,2",0,0,0,0,,,"85,2",8410,662,"9,96",773,8410,662,"9,96",773,0,13300,0,0,0,0
HSS254X254X7.9,60,0,0,0,0,,,"71,6",7160,565,10,657,7160,565,10,657,0,11300,0,0,0,0
HSS254X254X6.4,"48,5",0,0,0,0,,,"57,8",5870,464,"10,1",536,5870,464,"10,1",536,0,9160,0,0,0,0
HSS254X254X4.8,"36,8",0,0,0,0,,,"43,6",4500,354,"10,2",406,4500,354,"10,2",406,0,6950,0,0,0,0
HSS254X203.2X15.9,101,0,0,0,0,,,121,10500,828,"9,35",1020,7410,729,"7,85",873,0,14400,0,0,0,0
HSS254X203.2X12.7,"82,6",0,0,0,0,,,"98,7",8910,700,"9,47",850,6290,619,"7,98",729,0,12000,0,0,0,0
HSS254X203.2X9.5,"63,6",0,0,0,0,,,"76,1",7030,556,"9,63",664,4990,492,"8,1",570,0,9320,0,0,0,0
HSS254X203.2X7.9,"53,7",0,0,0,0,,,64,6040,475,"9,7",564,4290,421,"8,18",485,0,7910,0,0,0,0
HSS254X203.2X6.4,"43,4",0,0,0,0,,,"51,8",4950,390,"9,78",460,3530,347,"8,26",397,0,6450,0,0,0,0
HSS254X203.2X4.8,"33,1",0,0,0,0,,,"39,1",3800,300,"9,86",351,2710,267,"8,33",302,0,4910,0,0,0,0
HSS254X152.4X15.9,88,0,0,0,0,,,106,8370,659,"8,89",841,3720,488,"5,94",587,0,8700,0,0,0,0
HSS254X152.4X12.7,"72,5",0,0,0,0,,,"87,1",7120,562,"9,07",705,3200,420,"6,07",493,0,7330,0,0,0,0
HSS254X152.4X9.5,56,0,0,0,0,,,"67,1",5700,449,"9,22",554,2570,338,"6,2",388,0,5790,0,0,0,0
HSS254X152.4X7.9,"47,4",0,0,0,0,,,"56,5",4910,385,"9,3",472,2220,292,"6,27",331,0,4910,0,0,0,0
HSS254X152.4X6.4,"38,4",0,0,0,0,,,"45,8",4030,318,"9,37",387,1840,241,"6,32",272,0,4020,0,0,0,0
HSS254X152.4X4.8,"29,3",0,0,0,0,,,"34,6",3110,244,"9,47",295,1420,187,"6,4",208,0,3070,0,0,0,0
HSS254X127X9.5,"52,2",0,0,0,0,,,"62,4",4990,395,"8,97",498,1690,265,"5,21",306,0,4160,0,0,0,0
HSS254X127X7.9,"44,2",0,0,0,0,,,"52,7",4330,341,"9,04",426,1470,231,"5,26",262,0,3580,0,0,0,0
HSS254X127X6.4,"35,8",0,0,0,0,,,"42,8",3570,282,"9,14",349,1220,192,"5,33",216,0,2940,0,0,0,0
HSS254X127X4.8,"27,4",0,0,0,0,,,"32,4",2760,216,"9,22",267,945,149,"5,41",166,0,2250,0,0,0,0
HSS254X101.6X15.9,"75,3",0,0,0,0,,,"90,3",6200,490,"8,28",660,1390,275,"3,91",338,0,3980,0,0,0,0
