mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
HP460X234,234,451,"454,66","22,1","22,1",,,298,107000,4750,"18,9",5360,34700,1530,"10,8",2340,"12,5",579,"10,3","15,6",15800,0
HP460X202,202,445,"452,12","19,1","19,1",,,257,91600,4110,"18,9",4600,29400,1300,"10,7",2000,"12,3",380,"11,9","18,2",13300,0
HP410X272,272,419,414,"28,7","28,7",,,349,104000,4980,"17,3",5720,34000,1640,"9,88",2560,"11,6",1120,"7,21","10,5",13000,0
HP410X242,242,414,"408,94","25,4","25,4",,,308,91200,4410,"17,2",5010,29000,1420,"9,7",2200,"11,3",783,"8,05","11,9",11000,0
HP410X211,211,406,"406,4","22,2","22,2",,,269,77800,3830,17,4330,24900,1230,"9,63",1900,"11,2",537,"9,14","13,6",9210,0
HP410X181,181,401,"403,86","19,1","19,1",,,231,66200,3290,"16,9",3700,21000,1040,"9,53",1600,11,348,"10,6","15,9",7650,0
HP410X151,151,394,"401,32","15,9","15,9",,,193,54100,2750,"16,7",3060,17100,855,"9,42",1310,"10,8",211,"12,6",19,6120,0
HP410X131,131,389,"398,78","13,7","13,7",,,166,46200,2380,"16,7",2640,14500,729,"9,35",1120,"10,7",144,"14,5",22,5100,0
HP360X174,174,361,378,"20,4","20,4",,,222,50800,2820,"15,1",3180,18400,975,"9,12",1500,"10,5",334,"9,25","14,2",5340,0
HP360X152,152,356,376,"17,9","17,9",,,194,43700,2460,15,2770,15800,842,"9,04",1290,"10,4",224,"10,5","16,2",4510,0
HP360X132,132,351,373,"15,6","15,6",,,168,37600,2150,"14,9",2390,13600,726,"8,97",1110,"10,3",149,"11,9","18,5",3810,0
HP360X108,108,345,371,"12,8","12,8",,,138,30300,1750,"14,8",1930,10900,587,"8,86",895,"10,2","83,7","14,4","22,6",3010,0
HP310X125,125,312,312,"17,4","17,4",,,159,27100,1740,"13,1",1970,8870,567,"7,47",872,"8,66",176,"8,97","14,2",1920,0
HP310X110,110,307,310,"15,4","15,5",,,141,23700,1540,13,1720,7740,498,"7,42",764,"8,59",124,10,"16,1",1650,0
HP310X93,93,302,307,"13,1","13,1",,,119,19600,1300,"12,9",1450,6370,415,"7,32",634,"8,46","76,2","11,8","18,9",1340,0
HP310X79,79,300,305,11,11,,,100,16400,1090,"12,8",1210,5290,346,"7,26",528,"8,36","46,6","13,8","22,3",1100,0
HP250X85,85,254,259,"14,4","14,4",,,108,12200,964,"10,6",1090,4200,323,"6,22",497,"7,21",82,"9,03","13,9",602,0
HP250X62,62,246,257,"10,5","10,7",,,80,8740,711,"10,5",791,2980,233,"6,12",357,"7,04","33,8",12,"18,9",414,0
HP200X53,53,204,207,"11,3","11,3",,,"68,4",4950,488,"8,53",551,1680,162,"4,95",249,"5,74",32,"9,16","14,2",155,0
C380X74,74,381,"94,5","18,2","16,5",,,"94,8",16800,882,"13,3",1120,458,"61,8","2,2",133,"2,97",110,0,"17,7",132,0
C380X60,60,381,"89,4","13,2","16,5",,,"76,1",14500,762,"13,8",942,382,"54,7","2,24",112,"2,92","60,4",0,"24,4",110,0
C380X50.4,"50,4",381,"86,4","10,2","16,5",,,"64,5",13100,688,"14,2",832,336,"50,6","2,29",101,"2,87",42,0,"31,8","96,1",0
C310X45,45,305,"80,5",13,"12,7",,,"56,8",6740,442,"10,9",554,213,"33,6","1,94","70,8","2,57","35,8",0,"20,1","40,5",0
C310X37,37,305,"77,5","9,83","12,7",,,"47,4",5990,393,"11,3",482,185,"30,6","1,98","62,6","2,54","22,4",0,"26,5","34,9",0
C310X30.8,"30,8",305,"74,7","7,16","12,7",,,"39,2",5370,352,"11,7",420,161,"28,2","2,02","56,9","2,5","15,4",0,"36,3","30,1",0
C250X45,45,254,77,"17,1","11,1",,,"56,8",4290,339,"8,71",438,164,27,"1,7","61,9","2,35","50,8",0,"12,6","21,3",0
C250X37,37,254,"73,4","13,4","11,1",,,"47,4",3790,298,"8,94",379,139,"24,1","1,71","52,1","2,31","28,6",0,"16,1","18,3",0
C250X30,30,254,"69,6","9,63","11,1",,,"37,9",3280,259,"9,32",318,117,"21,5","1,75","44,2","2,27","15,3",0,"22,3","15,3",0
C250X22.8,"22,8",254,66,"6,1","11,1",,,"28,9",2800,221,"9,86",261,"94,5","18,8","1,81","38,3","2,2","8,7",0,"35,3","12,2",0
C230X30,30,229,"67,3","11,4","10,5",,,"37,9",2530,221,"8,18",277,100,"19,2","1,63","40,3","2,16","17,8",0,"16,8","10,6",0
C230X22,22,229,"63,2","7,24","10,5",,,"28,4",2120,185,"8,64",223,"79,5","16,6","1,67","33,4","2,1","8,66",0,"26,4","8,32",0
C230X19.9,"19,9",229,"61,7","5,92","10,5",,,"25,4",1990,174,"8,84",206,"72,8","15,6","1,69","31,8","2,07","6,99",0,"32,2","7,57",0
C200X27.9,"27,9",203,"64,3","12,4","9,91",,,"35,5",1830,180,"7,16",228,82,"16,6","1,52","35,6","2,03","18,1",0,"13,5","6,74",0
C200X20.5,"20,5",203,"59,4","7,7","9,91",,,26,1500,148,"7,59",180,"63,3","13,9","1,56","28,3","1,97","7,74",0,"21,8","5,16",0
C200X17.1,"17,1",203,"57,4","5,59","9,91",,,"21,7",1350,133,"7,9",158,"54,5","12,7","1,58","25,7","1,92","5,41",0,30,"4,43",0
C180X22,22,178,"58,4","10,6","9,3",,,"27,9",1130,127,"6,38",160,57,"12,7","1,42","26,7","1,87","11,1",0,"13,5","3,52",0
C180X18.2,"18,2",178,"55,6","7,98","9,3",,,"23,2",1010,113,"6,58",139,"48,3","11,4","1,44","23,3","1,83","6,7",0,18,"3,01",0
C180X14.6,"14,6",178,"53,1","5,33","9,3",,,"18,5",882,"99,5","6,91",118,"39,8","10,1","1,47","20,6","1,77","4,15",0,"26,9","2,46",0
C150X19.3,"19,3",152,"54,9","11,1","8,71",,,"24,6",720,"94,7","5,41",119,"43,7","10,5","1,33","22,1","1,75","9,86",0,11,"1,93",0
C150X15.6,"15,6",152,"51,6","7,98","8,71",,,"19,8",629,"82,6","5,64",101,"35,8","9,19","1,34","18,7","1,7","5,33",0,"15,3","1,59",0
C150X12.2,"12,2",152,"48,8","5,08","8,71",,,"15,4",545,"71,3","5,94","84,6","28,6",8,"1,36","16,2","1,63","3,06",0,"24,1","1,26",0
C130X13,13,127,48,"8,26","8,13",,,17,370,"58,3","4,67","71,9",26,"7,28","1,23",15,"1,56","4,54",0,"11,7","0,787",0
C130X10.4,"10,4",127,"44,5","4,83","8,13",,,"12,7",311,49,"4,95","58,2","19,6","6,1","1,24","12,4","1,48","2,29",0,20,"0,596",0
C100X10.8,"10,8",102,"43,7","8,15","7,52",,,"13,7",191,"37,5","3,73","46,5","17,7","5,52","1,14","11,4","1,43","3,4",0,"8,9","0,333",0
C100X9.3,"9,3",102,"41,91","6,2738","6,91",,,"11,4",166,"32,8","3,81","39,8","14,4","4,65","1,12","9,32","1,39","2,03",0,"11,7","0,277",0
C100X8,8,102,"40,1","4,67","7,52",,,"10,2",160,"31,5","3,96","37,5",13,"4,54","1,13","9,26","1,34","1,66",0,"15,5","0,247",0
C100X6.7,"6,7",102,"40,1","3,18","7,52",,,"8,9",152,30,"4,14","34,7",12,"4,34","1,16","8,7","1,33","1,34",0,"22,8","0,234",0
C75X8.9,"8,9","76,2","40,6","9,04","6,93",,,"11,4","86,2","22,6","2,77","28,5","12,5","4,31","1,05","8,9","1,32","3,02",0,"5,38","0,124",0
C75X7.4,"7,4","76,2","38,1","6,55","6,93",,,"9,48",77,"20,2","2,84","24,9",10,"3,74","1,03","7,6","1,26","1,77",0,"7,42","0,102",0
C75X6.1,"6,1","76,2","35,8","4,32","6,93",,,"7,74","68,7",18,3,"21,6","7,95","3,21","1,01","6,54","1,19","1,12",0,"11,3","0,0824",0
C75X5.2,"5,2","76,2","34,8","3,35","6,93",,,"7,03","65,3",17,"3,05","20,3","7,03","2,98",1,"5,96","1,16","0,941",0,"14,5","0,0741",0
MC460X86,86,457,107,"17,8","15,9",,,110,28100,1230,16,1560,733,"86,5","2,59",175,"3,43",117,0,"22,1",287,0
MC460X77.2,"77,2",457,104,"15,2","15,9",,,"98,7",26100,1140,"16,3",1430,678,"82,3","2,62",162,"3,43","84,5",0,"25,8",265,0
MC460X68.2,"68,2",457,102,"12,7","15,9",,,"87,1",24100,1050,"16,6",1300,620,"78,2","2,67",150,"3,4","60,4",0,31,241,0
MC460X63.5,"63,5",457,100,"11,4","15,9",,,"81,3",23100,1010,"16,9",1230,595,76,"2,72",145,"3,4","51,2",0,"34,4",229,0
MC330X74,74,330,112,20,"15,5",,,"94,8",13100,791,"11,7",996,683,"78,2","2,69",167,"3,58",123,0,"13,7",150,0
MC330X60,60,330,106,"14,2","15,5",,,"75,5",11400,687,"12,2",839,570,"69,5","2,74",142,"3,51","64,5",0,"19,3",124,0
MC330X52,52,330,103,"11,4","15,5",,,"66,5",10500,636,"12,6",762,512,"65,1","2,77",132,"3,43",47,0,"24,2",111,0
MC330X47.3,"47,3",330,102,"9,53","15,5",,,"60,3",9950,601,"12,8",711,475,"62,1","2,79",126,"3,4",39,0,"28,9",102,0
MC310X74,74,305,105,"21,2","17,8",,,"94,8",11200,736,"10,9",926,724,"92,4","2,77",179,"3,48",134,0,"11,5",110,0
MC310X67,67,305,102,18,"17,8",,,"85,2",10400,687,"11,1",852,658,"86,9","2,77",166,"3,43",97,0,"13,5",100,0
MC310X60,60,305,"98,8",15,"17,8",,,"76,1",9740,639,"11,3",782,591,"81,6","2,79",153,"3,38","70,3",0,"16,3","90,2",0
MC310X52,52,305,"95,8","11,8","17,8",,,"66,5",8990,590,"11,7",708,524,76,"2,82",141,"3,3","51,6",0,"20,6","79,8",0
MC310X46,46,305,"93,2","9,4","17,8",,,"58,8",8410,552,12,651,470,"71,6","2,82",134,"3,25","41,6",0,"25,9","71,7",0
MC310X21.3,"21,3",305,"53,848","6,35","7,9502",,,27,3170,208,"10,8",261,"41,6","9,41","1,24","19,8","1,71","4,87",0,"43,5","8,81",0
MC310X15.8,"15,8",305,"38,1","4,83","7,85",,,20,2300,151,"10,7",190,"15,7","5,03","0,886","10,4","1,21","2,48",0,"57,3","3,14",0
MC250X61.2,"61,2",254,110,"20,2","14,6",,,"78,1",6530,516,"9,17",644,653,"79,5","2,9",156,"3,66","94,1",0,"9,66","72,2",0
MC250X50,50,254,104,"14,6","14,6",,,"63,7",5790,456,"9,53",552,545,"71,3","2,92",136,"3,56","49,9",0,"13,4","60,2",0
MC250X42.4,"42,4",254,100,"10,8","14,6",,,54,5240,415,"9,88",492,470,"65,4","2,95",124,"3,45","32,9",0,"18,1","51,8",0
MC250X37,37,254,"86,6","9,65","14,6",,,"47,4",4580,361,"9,83",429,302,"48,5","2,52","92,6","2,97","26,6",0,"20,2","33,3",0
MC250X33,33,254,"84,3","7,37","14,6",,,"41,6",4250,336,"10,1",392,266,"45,1","2,53","86,7","2,9","21,2",0,"26,5","29,5",0
MC250X12.5,"12,5",254,"38,1","4,32","7,11",,,"15,9",1330,105,"9,17",130,"13,6","4,39","0,925","8,98","1,23","1,72",0,"52,6","1,88",0
MC250X9.7,"9,7",254,"29,7","3,86","5,13",,,"12,6",953,"75,2","8,71","96,7","5,54","2,25","0,665","4,65","0,922","0,795",0,"59,8","0,741",0
MC230X37.8,"37,8",229,"88,9","11,4",14,,,"48,2",3660,320,"8,71",385,315,49,"2,57","93,4","3,05","28,8",0,"15,1","27,9",0
MC230X35.6,"35,6",229,"87,6","10,2",14,,,"45,3",3530,310,"8,84",369,297,"47,4","2,57","90,3",3,"24,9",0,17,"26,3",0
MC200X33.9,"33,9",203,"88,9","10,8","13,3",,,"43,2",2660,261,"7,85",313,292,46,"2,59",88,"3,05","23,8",0,"13,8","20,2",0
MC200X31.8,"31,8",203,"87,6","9,53","13,3",,,"40,5",2560,252,"7,95",298,274,"44,4","2,59","84,9",3,"20,6",0,"15,7",19,0
MC200X29.8,"29,8",203,77,"10,2","12,7",,,"37,9",2260,223,"7,72",269,184,"33,1","2,2","63,3","2,62","18,4",0,15,"12,8",0
MC200X27.8,"27,8",203,"75,7","8,97","12,7",,,"35,5",2180,215,"7,85",256,173,32,"2,2",61,"2,59","15,8",0,17,"12,1",0
MC200X12.6,"12,6",203,"47,5","4,55","7,9",,,"16,1",970,"95,4","7,75",114,26,"7,06","1,27","14,3","1,58","2,44",0,"38,4","2,2",0
MC180X33.8,"33,8",178,"91,4","12,8","12,7",,,43,1970,221,"6,78",269,301,"46,4","2,64","88,2","3,12",26,0,"9,94","15,7",0
MC180X28.4,"28,4",178,"87,6","8,94","12,7",,,"36,2",1790,202,"7,04",238,252,"41,8","2,64","79,5","3,02","16,9",0,"14,2","13,2",0
MC150X26.8,"26,8",152,"88,9","9,63","12,1",,,"34,1",1240,162,"6,02",192,245,"40,5","2,67","76,7","3,05","15,8",0,"10,8","9,29",0
MC150X22.8,"22,8",152,"88,9","8,64","9,78",,,29,1050,138,"6,05",162,204,"32,9","2,67","63,1","3,05","9,28",0,"13,1","8,06",0
MC150X24.3,"24,3",152,"76,2","9,53","12,1",,,"30,9",1080,142,"5,92",170,157,"29,8","2,25","56,9","2,62",14,0,"10,9","5,93",0
MC150X22.5,"22,5",152,"74,7","8,03","12,1",,,"28,6",1040,136,"6,02",161,144,"28,3","2,24","54,1","2,57","11,9",0,"12,9","5,5",0
MC150X17.9,"17,9",152,"63,5","7,87","9,53",,,"22,8",778,102,"5,84",122,77,"16,9","1,84","32,3","2,17","6,45",0,"14,5","3,03",0
MC150X10.4,"10,4",152,"47,8","4,55","7,39",,,"13,5",475,"62,4","5,94","73,7","25,1","7,19","1,36","14,2","1,62","1,93",0,26,"1,07",0
MC150X9.7,"9,7",152,47,"3,94","7,39",,,"12,6",458,60,"6,05","70,1","23,5","6,92","1,37","13,7","1,6","1,71",0,"30,1","1,01",0
MC100X20.5,"20,5",102,"63,5","12,7","12,7",,,26,368,"72,6","3,76","90,6","88,7","21,1","1,85","39,3","2,16","15,5",0,"4,48","1,3",0
MC75X10.6,"10,6","76,2","49,3","7,92","8,92",,,"13,6",113,"29,7","2,9","36,7","27,7","8,49","1,43","16,4","1,67","3,86",0,"4,93","0,246",0
L203X203X28.6,"84,7",203,0,0,0,,,108,4080,287,"6,12",518,4080,287,"6,12",518,0,297,0,0,"8,73",0
L203X203X25.4,"75,9",203,0,0,0,,,"97,4",3710,259,"6,17",467,3710,259,"6,17",467,0,211,0,0,"6,28",0
L203X203X22.2,67,203,0,0,0,,,"85,8",3320,229,"6,22",415,3320,229,"6,22",415,0,144,0,0,"4,32",0
L203X203X19,"57,9",203,0,0,0,,,"74,2",2910,200,"6,25",361,2910,200,"6,25",361,0,92,0,0,"2,79",0
L203X203X15.9,"48,7",203,0,0,0,,,"62,5",2480,169,"6,3",305,2480,169,"6,3",305,0,"54,1",0,0,"1,65",0
L203X203X14.3,44,203,0,0,0,,,"56,6",2260,153,"6,32",275,2260,153,"6,32",275,0,40,0,0,"1,22",0
L203X203X12.7,"39,3",203,0,0,0,,,"50,6",2030,137,"6,32",247,2030,137,"6,32",247,0,"28,4",0,0,"0,867",0
L203X152X25.4,"65,5",152,0,0,0,,,"84,5",3370,247,"6,32",447,1610,146,"4,37",265,0,181,0,0,"4,38",0
L203X152X22.2,"57,9",152,0,0,0,,,"74,2",3010,220,"6,35",398,1450,130,"4,42",236,0,123,0,0,"3,03",0
L203X152X19,"50,1",152,0,0,0,,,"64,5",2640,192,"6,4",346,1280,113,"4,45",205,0,"79,1",0,0,"1,95",0
L203X152X15.9,"42,2",152,0,0,0,,,"54,3",2260,162,"6,45",293,1100,"96,4","4,5",172,0,"46,6",0,0,"1,16",0
L203X152X14.3,"38,1",152,0,0,0,,,"49,1",2060,147,"6,48",265,1000,"87,5","4,52",156,0,"34,3",0,0,"0,859",0
L203X152X12.7,"34,1",152,0,0,0,,,"43,9",1850,131,"6,48",239,903,"78,5","4,55",140,0,"24,3",0,0,"0,612",0
L203X152X11.1,"29,9",152,0,0,0,,,"38,6",1640,116,"6,5",211,803,"69,3","4,57",123,0,"16,5",0,0,"0,416",0
L203X102X25.4,"55,4",102,0,0,0,,,"71,6",2900,229,"6,38",398,483,"64,6","2,62",127,0,153,0,0,"3,46",0
L203X102X22.2,"49,3",102,0,0,0,,,"63,2",2610,205,"6,43",356,437,"57,5","2,64",111,0,104,0,0,"2,39",0
L203X102X19,"42,5",102,0,0,0,,,"54,8",2290,179,"6,48",310,390,"50,3","2,67","95,4",0,67,0,0,"1,54",0
L203X102X15.9,36,102,0,0,0,,,"46,2",1960,151,"6,5",264,338,"42,9","2,69","79,6",0,"39,8",0,0,"0,918",0
L203X102X14.3,"32,4",102,0,0,0,,,"41,9",1790,137,"6,53",239,310,39,"2,72","71,9",0,"29,3",0,0,"0,679",0
L203X102X12.7,29,102,0,0,0,,,"37,4",1610,123,"6,55",215,281,"35,2","2,74","64,1",0,"20,9",0,0,"0,483",0
L203X102X11.1,"25,6",102,0,0,0,,,33,1420,108,"6,58",190,251,"31,1","2,77",56,0,"14,2",0,0,"0,328",0
L178X102X19,"38,8",102,0,0,0,,,"49,9",1570,137,"5,61",243,375,"49,3","2,74","91,8",0,"61,2",0,0,"1,07",0
L178X102X15.9,"32,7",102,0,0,0,,,"41,9",1350,117,"5,66",205,324,42,"2,79","76,9",0,"36,1",0,0,"0,636",0
L178X102X12.7,"26,5",102,0,0,0,,,"33,9",1110,"94,9","5,72",167,270,"34,4","2,82","61,8",0,19,0,0,"0,336",0
L178X102X11.1,"23,4",102,0,0,0,,,"29,9",982,"83,7","5,74",148,241,"30,5","2,84","54,2",0,"12,9",0,0,"0,229",0
L178X102X9.5,"20,2",102,0,0,0,,,"25,8",853,"72,4","5,77",128,211,"26,4","2,84","46,5",0,"8,24",0,0,"0,146",0
L152X152X25.4,"55,7",152,0,0,0,,,71,1470,140,"4,55",252,1470,140,"4,55",252,0,153,0,0,"2,48",0
L152X152X22.2,"49,3",152,0,0,0,,,"62,9",1330,125,"4,6",225,1330,125,"4,6",225,0,104,0,0,"1,72",0
L152X152X19,"42,7",152,0,0,0,,,"54,6",1170,109,"4,62",195,1170,109,"4,62",195,0,67,0,0,"1,12",0
L152X152X15.9,36,152,0,0,0,,,46,1000,"92,4","4,67",166,1000,"92,4","4,67",166,0,"39,8",0,0,"0,671",0
L152X152X14.3,"32,6",152,0,0,0,,,"41,6",916,"83,9","4,7",150,916,"83,9","4,7",150,0,"29,3",0,0,"0,497",0
L152X152X12.7,"29,2",152,0,0,0,,,"37,2",828,"75,2","4,72",135,828,"75,2","4,72",135,0,"20,9",0,0,"0,354",0
L152X152X11.1,"25,6",152,0,0,0,,,"32,8",733,"66,5","4,72",119,733,"66,5","4,72",119,0,"14,2",0,0,"0,241",0
L152X152X9.5,"22,2",152,0,0,0,,,"28,3",641,"57,5","4,75",103,641,"57,5","4,75",103,0,"9,07",0,0,"0,154",0
L152X152X7.9,"18,5",152,0,0,0,,,"23,7",541,"48,3","4,78","86,2",541,"48,3","4,78","86,2",0,"5,37",0,0,"0,0908",0
L152X102X22.2,"40,3",102,0,0,0,,,"51,6",1150,117,"4,72",208,404,"55,2","2,79",103,0,"84,5",0,0,"1,08",0
L152X102X19,35,102,0,0,0,,,"44,8",1020,102,"4,78",182,359,"48,3","2,84","88,8",0,"54,5",0,0,"0,709",0
L152X102X15.9,"29,6",102,0,0,0,,,"37,8",874,"86,7","4,8",155,311,"41,3","2,87","74,7",0,"32,3",0,0,"0,427",0
L152X102X14.3,"26,9",102,0,0,0,,,"34,3",799,"78,8","4,83",141,286,"37,5","2,9","67,7",0,"23,8",0,0,"0,317",0
L152X102X12.7,24,102,0,0,0,,,"30,6",720,"70,6","4,85",126,259,"33,8","2,9","60,5",0,"16,9",0,0,"0,226",0
L152X102X11.1,"21,2",102,0,0,0,,,27,641,"62,4","4,88",112,231,30,"2,92","53,1",0,"11,5",0,0,"0,154",0
L152X102X9.5,"18,2",102,0,0,0,,,"23,3",558,"54,1","4,9","96,5",202,"25,9","2,95","45,7",0,"7,37",0,0,"0,0991",0
L152X102X7.9,"15,3",102,0,0,0,,,"19,5",475,"45,4","4,93","81,3",172,22,"2,97","38,2",0,"4,33",0,0,"0,0583",0
L152X89X12.7,"22,7","88,9",0,0,0,,,29,691,"69,3","4,88",123,176,"26,1","2,46","47,2",0,"16,1",0,0,"0,209",0
L152X89X9.5,"17,3","88,9",0,0,0,,,"22,2",537,"52,9","4,9","94,1",139,20,"2,5","35,7",0,"6,99",0,0,"0,0916",0
L152X89X7.9,"14,5","88,9",0,0,0,,,"18,6",454,"44,6","4,93","79,3",118,"16,9","2,52","29,8",0,"4,12",0,0,"0,054",0
L127X127X22.2,"40,5",127,0,0,0,,,"51,6",741,"84,6","3,78",153,741,"84,6","3,78",153,0,"86,2",0,0,"0,948",0
L127X127X19,"35,1",127,0,0,0,,,45,653,"74,1","3,81",133,653,"74,1","3,81",133,0,"55,4",0,0,"0,623",0
L127X127X15.9,"29,8",127,0,0,0,,,"38,1",566,"63,1","3,86",114,566,"63,1","3,86",114,0,33,0,0,"0,376",0
L127X127X12.7,"24,1",127,0,0,0,,,"30,9",470,"51,6","3,89","92,8",470,"51,6","3,89","92,8",0,"17,4",0,0,"0,2",0
L127X127X11.1,"21,3",127,0,0,0,,,"27,2",416,"45,6","3,91","81,9",416,"45,6","3,91","81,9",0,"11,8",0,0,"0,136",0
L127X127X9.5,"18,3",127,0,0,0,,,"23,5",365,"39,5","3,94",71,365,"39,5","3,94",71,0,"7,62",0,0,"0,0878",0
L127X127X7.9,"15,3",127,0,0,0,,,"19,8",310,"33,4","3,96","59,8",310,"33,4","3,96","59,8",0,"4,5",0,0,"0,0518",0
L127X89X19,"29,3","88,9",0,0,0,,,"37,7",579,"69,8","3,94",125,230,"36,1","2,47","66,7",0,"45,4",0,0,"0,408",0
L127X89X15.9,"24,9","88,9",0,0,0,,,"31,8",499,"59,5","3,96",107,200,"30,8","2,51","56,2",0,"27,1",0,0,"0,247",0
L127X89X12.7,"20,2","88,9",0,0,0,,,"25,8",416,"48,7","4,01","87,3",167,"25,4","2,54","45,7",0,"14,3",0,0,"0,132",0
L127X89X9.5,"15,4","88,9",0,0,0,,,"19,7",323,"37,4","4,04",67,131,"19,5","2,59","34,7",0,"6,24",0,0,"0,0583",0
L127X89X7.9,"12,9","88,9",0,0,0,,,"16,5",274,"31,5","4,06","56,5",112,"16,6","2,59",29,0,"3,68",0,0,"0,0344",0
L127X89X6.4,"10,4","88,9",0,0,0,,,"13,4",223,"25,4","4,09","45,6","91,6","13,4","2,62","23,3",0,"1,93",0,0,"0,018",0
L127X76X12.7,19,"76,2",0,0,0,,,"24,2",393,"47,4","4,01","83,9",106,"18,5","2,09","34,1",0,"13,4",0,0,"0,119",0
L127X76X11.1,"16,7","76,2",0,0,0,,,"21,4",350,42,"4,04","74,2","95,3","16,4","2,11","29,8",0,"9,16",0,0,"0,0816",0
L127X76X9.5,"14,5","76,2",0,0,0,,,"18,5",306,"36,4","4,06","64,4","83,7","14,3","2,13","25,7",0,"5,87",0,0,"0,0526",0
L127X76X7.9,"12,1","76,2",0,0,0,,,"15,5",260,"30,6","4,09","54,4","71,6","12,1","2,15","21,5",0,"3,46",0,0,"0,0312",0
L127X76X6.4,"9,8","76,2",0,0,0,,,"12,5",212,"24,7","4,11","43,9","58,7","9,83","2,17","17,2",0,"1,82",0,0,"0,0163",0
L102X102X19,"27,5",102,0,0,0,,,"35,1",317,"45,7",3,"82,3",317,"45,7",3,"82,3",0,"42,5",0,0,"0,301",0
L102X102X15.9,"23,4",102,0,0,0,,,"29,7",276,39,"3,05","70,1",276,39,"3,05","70,1",0,"25,4",0,0,"0,183",0
L102X102X12.7,19,102,0,0,0,,,"24,2",230,"32,1","3,07","57,4",230,"32,1","3,07","57,4",0,"13,4",0,0,"0,0983",0
L102X102X11.1,"16,8",102,0,0,0,,,"21,3",205,"28,3","3,1","50,8",205,"28,3","3,1","50,8",0,"9,16",0,0,"0,0677",0
L102X102X9.5,"14,6",102,0,0,0,,,"18,5",180,"24,6","3,12","44,1",180,"24,6","3,12","44,1",0,"5,87",0,0,"0,0435",0
L102X102X7.9,"12,2",102,0,0,0,,,"15,5",153,"20,8","3,15",37,153,"20,8","3,15",37,0,"3,46",0,0,"0,0259",0
L102X102X6.4,"9,8",102,0,0,0,,,"12,5",125,"16,9","3,18","29,8",125,"16,9","3,18","29,8",0,"1,82",0,0,"0,0136",0
L102X89X12.7,"17,6","88,9",0,0,0,,,"22,6",221,"31,5","3,12","56,7",157,"24,6","2,64","44,1",0,"12,5",0,0,"0,0811",0
L102X89X9.5,"13,5","88,9",0,0,0,,,"17,3",173,"24,3","3,18","43,6",123,19,"2,67","33,8",0,"5,49",0,0,"0,036",0
L102X89X7.9,"11,4","88,9",0,0,0,,,"14,5",147,"20,5","3,18","36,7",105,"16,1","2,69","28,5",0,"3,25",0,0,"0,0214",0
L102X89X6.4,"9,2","88,9",0,0,0,,,"11,7",120,"16,6","3,2","29,7","86,2",13,"2,72","22,9",0,"1,71",0,0,"0,0113",0
L102X76X15.9,"20,2","76,2",0,0,0,,,"25,7",250,"37,4","3,12","66,9",119,22,"2,15","40,1",0,22,0,0,"0,127",0
L102X76X12.7,"16,4","76,2",0,0,0,,,21,209,"30,6","3,15","55,1","99,9",18,"2,18","32,6",0,"11,7",0,0,"0,0685",0
L102X76X9.5,"12,6","76,2",0,0,0,,,"16,1",164,"23,6","3,2","42,6","78,7","13,9","2,22","24,9",0,"5,12",0,0,"0,0306",0
L102X76X7.9,"10,7","76,2",0,0,0,,,"13,5",140,20,"3,23","35,9","67,4","11,8","2,24",21,0,"3,04",0,0,"0,0182",0
L102X76X6.4,"8,6","76,2",0,0,0,,,"10,9",114,"16,2","3,23",29,"55,4","9,59","2,25","16,9",0,"1,61",0,0,"0,00956",0
L89X89X12.7,"16,5","88,9",0,0,0,,,21,151,"24,3","2,67","43,6",151,"24,3","2,67","43,6",0,"11,7",0,0,"0,0639",0
L89X89X11.1,"14,6","88,9",0,0,0,,,"18,6",135,"21,6","2,69","38,7",135,"21,6","2,69","38,7",0,"7,99",0,0,"0,044",0
L89X89X9.5,"12,6","88,9",0,0,0,,,"16,1",119,"18,8","2,72","33,8",119,"18,8","2,72","33,8",0,"5,12",0,0,"0,0285",0
L89X89X7.9,"10,7","88,9",0,0,0,,,"13,5",102,"15,9","2,74","28,5",102,"15,9","2,74","28,5",0,"3,04",0,0,"0,017",0
L89X89X6.4,"8,6","88,9",0,0,0,,,11,"83,2","12,9","2,77","23,1","83,2","12,9","2,77","23,1",0,"1,61",0,0,"0,00897",0
L89X76X12.7,"15,1","76,2",0,0,0,,,"19,5",144,"23,8","2,72","42,8","96,6","17,9","2,23","32,3",0,"10,8",0,0,"0,0513",0
L89X76X11.1,"13,5","76,2",0,0,0,,,"17,2",129,"21,1","2,74",38,87,"15,9","2,25","28,7",0,"7,41",0,0,"0,0354",0
L89X76X9.5,"11,7","76,2",0,0,0,,,15,114,"18,4","2,77","33,3","76,6","13,9","2,27","24,9",0,"4,75",0,0,"0,023",0
L89X76X7.9,"9,8","76,2",0,0,0,,,"12,6",97,"15,6","2,77","28,2","65,8","11,8","2,29",21,0,"2,83",0,0,"0,0137",0
