Perfis,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),D (mm),tw Espessura da Alma (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Iy (cm⁴),Wy (cm³),ry (cm),It (cm⁴),Esbeltez da Alma (h/tw),Cw (cm⁶),u (Área de pintura - m²/m),xg,x0,r0,bf/bw,bw/t,D/bw,D/bw_min,Verificação
300 x 85 x 25 x 2,"7,95753802796816",300,85,25,2,292,292,"10,1369911184308","1339,0755119023","89,271700793487","11,49338622492","93,8884749832779","14,9101308482198","3,04334795571065","0,135159881579077",146,"17055,0173457485","510,849555921539","2,20304151324815","5,64485411187857","13,1614692051876","0,283333333333333",150,"0,083333333333333","0,0846",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"300 x 85 x 25 x 2,25","8,9231965666472",300,85,25,"2,25",291,291,"11,367129384264","1496,83015816101","99,7886772107338","11,4752157790868","104,319716577962","16,5654345389212","3,02940820667828","0,191820308359454","129,333333333333","18966,4360768123","509,705750411731","2,20256685190735","5,61666503219521","13,1303014947555","0,283333333333333","133,333333333333","0,083333333333333","0,0947",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"300 x 85 x 25 x 2,65","10,4548302003516",300,85,25,"2,65","289,4","289,4","13,318255032295","1744,834429639","116,322295309267","11,4459922538284","120,424884651276","19,1205269022167","3,00700711713686","0,311758153214306","109,207547169811","21927,5473996142","507,875661596039","2,20180093534376","5,57156909884257","13,0803368725881","0,283333333333333","113,207547169811","0,083333333333333","0,108",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
300 x 85 x 25 x 3,"11,7814605629284",300,85,25,3,288,288,"15,0082300164692","1957,41089938335","130,49405995889","11,4202671307035","133,93340982486","21,2630655151237","2,98730609052141","0,450246900494077",96,"24422,1872922577","506,274333882308","2,20112415213143","5,53211682402627","13,0365185371619","0,283333333333333",100,"0,083333333333333","0,12",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"300 x 85 x 25 x 3,35","13,0954451297182",300,85,25,"3,35","286,6","286,6","16,6820957066473","2165,8739566367","144,391597109113","11,3943953847132","146,904455835786","23,3198003993589","2,96750992516928","0,624049396892833","85,5522388059702","26828,703031208","504,673006168577","2,2004411135601","5,49267078057176","12,9926053446912","0,283333333333333","89,5522388059701","0,083333333333333","0,1338",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"300 x 85 x 25 x 3,75","14,5816571295756",300,85,25,"3,75",285,285,"18,5753594007332","2399,10350171705","159,940233447803","11,3646451444906","161,079070039242","25,5666970484196","2,94476704415203","0,870719971909369",76,"29473,258295531","502,842917352885","2,19965272658484","5,44759722838321","12,9422999411699","0,283333333333333",80,"0,083333333333333","0,1513",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"300 x 85 x 25 x 4,25","16,4161951575437",300,85,25,"4,25",283,283,"20,912350519164","2683,15847735858","178,877231823905","11,3271783172529","177,837978743637","28,2222271240799","2,916156531203","1,25909777084133","66,5882352941177","32623,957967273","500,55530633327","2,19865539095244","5,39126676420003","12,8792350265104","0,283333333333333","70,5882352941177","0,083333333333333","0,1742",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"300 x 85 x 25 x 4,75","18,2249254390079",300,85,25,"4,75",281,281,"23,2164655273986","2958,94861173135","197,26324078209","11,2893947661513","193,549308110117","30,7106307100341","2,88733888580489","1,74607167820644","59,1578947368421","35606,8875537957","498,267695313654","2,19764463851018","5,33494906820939","12,8159604239352","0,283333333333333","63,1578947368421","0,083333333333333","0,1972",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"300 x 85 x 25 x 6,3","22,6338422517134",300,85,25,6,276,276,"28,832920065877","3612,60534582518","240,840356388345","11,193501096439","228,373237990999","36,2213024146326","2,81435119458246","3,45995040790524",46,"42360,7505031689","492,548667764616","2,19505725175852","5,1942107823754","12,6568110159776","0,283333333333333",50,"0,083333333333333","0,25",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"300 x 100 x 25 x 2,65","11,0789052003516",300,100,25,"2,65","289,4","289,4","14,113255032295","1920,56326185775","128,037550790517","11,6654289742542","178,963454734615","24,5664022273673","3,56097219565506","0,330367778214306","109,207547169811","32115,6724046355","537,875661596039","2,71511338623092","6,78813818739367","13,9585664085805","0,333333333333333","113,207547169811","0,083333333333333","0,108",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
300 x 100 x 25 x 3,"12,4879605629284",300,100,25,3,288,288,"15,9082300164693","2155,88114938335","143,72540995889","11,6412998763066","199,461417507082","27,373908699172","3,54093960699312","0,477246900494077",96,"35827,3534743571","536,274333882308","2,7134476957938","6,74718391101611","13,9133966679435","0,333333333333333",100,"0,083333333333333","0,12",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"300 x 100 x 25 x 3,35","13,8843701297182",300,100,25,"3,35","286,6","286,6","17,6870957066473","2386,97702816795","159,131801877863","11,6170499528423","219,251281811492","30,0829153496977","3,52081177178772","0,661644771892833","85,5522388059702","39422,0557668982","534,673006168578","2,71176748454019","6,7062237793581","13,8681434416442","0,333333333333333","89,5522388059701","0,083333333333333","0,1338",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"300 x 100 x 25 x 3,75","15,4647821295756",300,100,25,"3,75",285,285,"19,7003594007332","2645,9399274983","176,395995166553","11,5891855257626","241,010925583794","33,0597091318587","3,49768980127373","0,923454346909368",76,"43389,6569333112","532,842917352885","2,7098292177187","6,65940485380886","13,8163210770238","0,333333333333333",80,"0,083333333333333","0,1513",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"300 x 100 x 25 x 4,25","17,4170701575437",300,100,25,"4,25",283,283,"22,187350519164","2961,96292657733","197,464195105155","11,5541256714317","266,940993389429","36,6042593570816","3,46860554407213","1,33586339584133","66,5882352941177","48142,6032853342","530,55530633327","2,70737892043197","6,6008698681994","13,7513827475097","0,333333333333333","70,5882352941177","0,083333333333333","0,1742",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"300 x 100 x 25 x 4,75","19,3435504390079",300,100,25,"4,75",281,281,"24,6414655273986","3269,5008656376","217,96672437584","11,5188059376115","291,481047276175","39,9557168563796","3,4393145253526","1,85324355320644","59,1578947368421","52671,4291025759","528,267695313655","2,70489756637577","6,54232190015456","13,6862613769392","0,333333333333333","63,1578947368421","0,083333333333333","0,1972",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
